words,attribution,abs_attribution
##su,-0.0005315868114065253,0.0005315868114065253
ins,-0.006387686625984383,0.006387686625984383
##uf,-0.008687494080261284,0.008687494080261284
##fi,-0.005644695168701324,0.005644695168701324
##ci,-0.0007375870215234741,0.0007375870215234741
found,-0.0159610722457776,0.0159610722457776
interest,-0.004243201762082548,0.004243201762082548
given,-0.11760279363198622,0.11760279363198622
want,-0.010256015714786347,0.010256015714786347
promo,-0.0009953481116605823,0.0009953481116605823
##t,-0.0004308351658995378,0.0004308351658995378
favour,-0.007740161481882351,0.007740161481882351
candi,-0.017658001222024333,0.017658001222024333
##d,-0.014751235814027298,0.014751235814027298
see,-0.025917856866758283,0.025917856866758283
support,-0.0166984011214023,0.0166984011214023
ev,0.015016170509444282,0.015016170509444282
##id,0.007882554414958436,0.007882554414958436
ann,-0.008097997000117405,0.008097997000117405
##oy,-0.003829878299444738,0.003829878299444738
close,0.02145926549598328,0.02145926549598328
think,-0.028958884836352405,0.028958884836352405
ground,-0.023390621477093566,0.023390621477093566
question,-0.012788733153565485,0.012788733153565485
process,-0.02493570577717428,0.02493570577717428
regardless,-0.007667815952035388,0.007667815952035388
final,-0.08376562284877612,0.08376562284877612
out,-0.008018229800112197,0.008018229800112197
##com,-0.008960813179987917,0.008960813179987917
still,0.0008299600325052261,0.0008299600325052261
air,-0.018685795922420822,0.018685795922420822
look,-0.12752883979479307,0.12752883979479307
con,-0.03951822918220396,0.03951822918220396
##tri,-0.1626155972664942,0.1626155972664942
##b,0.04187818215250933,0.04187818215250933
mate,-0.03862409911484296,0.03862409911484296
due,-0.06731768892102769,0.06731768892102769
respect,-0.1271104066784748,0.1271104066784748
block,-0.0064557609078319984,0.0064557609078319984
just,0.05742320827702437,0.05742320827702437
##if,0.028762103515499942,0.028762103515499942
##i,0.026755205042459963,0.026755205042459963
not,0.026780102958476916,0.026780102958476916
##go,0.05561022060154926,0.05561022060154926
un,0.003174472003720999,0.003174472003720999
##block,-0.06989848354659134,0.06989848354659134
least,0.047507769157514014,0.047507769157514014
could,0.0010387960287138055,0.0010387960287138055
use,0.046567262359731264,0.046567262359731264
decent,0.12350076206353817,0.12350076206353817
edit,0.06134635356764836,0.06134635356764836
sum,-0.014390932422241506,0.014390932422241506
##mar,-0.0076843488680026235,0.0076843488680026235
##i,0.026755205042459963,0.026755205042459963
we,0.03796533007064877,0.03796533007064877
##lco,-0.025919305744083448,0.025919305744083448
##m,-0.01117776677662998,0.01117776677662998
new,-0.04049599039190179,0.04049599039190179
##bi,-0.07574501165532535,0.07574501165532535
ea,-0.022406698512273848,0.022406698512273848
##e,0.033184697383654704,0.033184697383654704
utc,-0.001858051141966626,0.001858051141966626
accord,-0.0003583310271384574,0.0003583310271384574
book,-0.0009406926716063512,0.0009406926716063512
amazon,6.873785631941179e-06,6.873785631941179e-06
##com,-1.8327472855784838e-05,1.8327472855784838e-05
rep,0.0006100849202946002,0.0006100849202946002
##ub,0.00018221730674183737,0.00018221730674183737
##lish,0.00023411842538278996,0.00023411842538278996
cool,-4.69691823683712e-05,4.69691823683712e-05
##ac,-3.4513684673074705e-05,3.4513684673074705e-05
geo,-0.00015995950052843062,0.00015995950052843062
site,-2.945236250960176e-05,2.945236250960176e-05
suck,0.05894808545679721,0.05894808545679721
cock,0.1460137732700791,0.1460137732700791
wikipedia,0.04340333093380352,0.04340333093380352
editor,-0.12562960003725093,0.12562960003725093
fuck,0.3404691371879759,0.3404691371879759
ass,0.20962605881456384,0.20962605881456384
##hol,-0.04458037900168381,0.04458037900168381
do,0.015516726476305817,0.015516726476305817
##rk,0.018480513620898077,0.018480513620898077
tri,-1.1256256116113813e-05,1.1256256116113813e-05
make,0.05269387506453555,0.05269387506453555
site,0.06175389016965541,0.06175389016965541
better,0.014819256884155436,0.014819256884155436
up,0.07380290362001263,0.07380290362001263
##tight,0.012413305378676544,0.012413305378676544
cu,0.07054455530919786,0.07054455530919786
##nt,0.050979978386681626,0.050979978386681626
high,0.05744860883101378,0.05744860883101378
##k,0.0038123380859349685,0.0038123380859349685
put,-0.022634996047421432,0.022634996047421432
blunt,0.04230763619331714,0.04230763619331714
##li,-0.077158784588103,0.077158784588103
know,-0.15194219149548138,0.15194219149548138
talk,-0.02107081132846499,0.02107081132846499
mu,0.020691131322798758,0.020691131322798758
##rri,-0.004404127452597634,0.004404127452597634
first,-0.035453237689034724,0.035453237689034724
log,-0.06538785043125926,0.06538785043125926
edit,0.002649632884027804,0.002649632884027804
high,0.05744860883101378,0.05744860883101378
##k,0.0038123380859349685,0.0038123380859349685
one,0.00478244686274695,0.00478244686274695
person,0.05942345289875143,0.05942345289875143
object,-0.032496196420615464,0.032496196420615464
edit,0.002649632884027804,0.002649632884027804
right,0.04206104012876362,0.04206104012876362
##li,-0.077158784588103,0.077158784588103
second,0.025162373337903148,0.025162373337903148
high,0.05744860883101378,0.05744860883101378
##k,0.0038123380859349685,0.0038123380859349685
spec,-0.004989168460482087,0.004989168460482087
##if,-0.0008292295418312934,0.0008292295418312934
warn,0.016688088470776165,0.016688088470776165
cai,-0.01581655668095421,0.01581655668095421
##li,-0.077158784588103,0.077158784588103
##l,0.02644029810442978,0.02644029810442978
use,-0.04040735633837679,0.04040735633837679
